2026-04-28T17:28:51 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-05-04T22:18:08 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'open restricted live dashboard'. Required=['Administrator'], actual=Auditor
2026-05-04T22:18:13 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'view restricted process details'. Required=['Administrator'], actual=Auditor
2026-05-04T22:18:15 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'delete log files'. Required=['Administrator'], actual=Auditor
2026-05-04T22:18:55 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-05-04T22:19:03 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-05-04T22:19:26 | uid=1000 | user=admin | LOG_DELETED: Deleted snapshot_20260504_184559_admin.log and matching hash file
2026-05-04T22:20:58 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260504_222058_admin.log with hash snapshot_20260504_222058_admin.log.sha256
2026-05-04T22:22:11 | uid=1000 | user=admin | LOGOUT: User exited SSO
2026-05-04T22:22:17 | uid=1000 | user=Admin | FAILED_LOGIN: Unknown username
2026-05-04T22:22:24 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-05-04T22:23:06 | uid=1000 | user=admin | SECURITY_ALERT: Integrity check failed for snapshot_20260504_222058_admin.log
2026-05-04T22:44:37 | uid=1000 | user=auditor | FAILED_LOGIN: Bad password
2026-05-04T22:44:49 | uid=1000 | user=auditor | LOGIN_SUCCESS: Logged in as Auditor
2026-05-04T22:44:54 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'open restricted live dashboard'. Required=['Administrator'], actual=Auditor
2026-05-04T22:44:59 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'view restricted process details'. Required=['Administrator'], actual=Auditor
2026-05-04T22:45:04 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'delete log files'. Required=['Administrator'], actual=Auditor
2026-05-04T22:45:43 | uid=1000 | user=auditor | LOGOUT: User exited SSO
2026-05-04T22:45:58 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-05-04T22:46:36 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260504_224636_admin.log with hash snapshot_20260504_224636_admin.log.sha256
2026-05-04T22:46:49 | uid=1000 | user=admin | LOG_DELETED: Deleted snapshot_20260504_222058_admin.log and matching hash file
2026-05-04T22:46:55 | uid=1000 | user=admin | LOG_DELETED: Deleted snapshot_20260504_224636_admin.log and matching hash file
2026-05-04T22:47:03 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260504_224703_admin.log with hash snapshot_20260504_224703_admin.log.sha256
2026-05-04T22:47:24 | uid=1000 | user=admin | SECURITY_ALERT: Integrity check failed for snapshot_20260504_224703_admin.log
2026-05-04T22:47:29 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260504_224729_admin.log with hash snapshot_20260504_224729_admin.log.sha256
2026-05-04T22:47:36 | uid=1000 | user=admin | SECURITY_ALERT: Integrity check failed for snapshot_20260504_224703_admin.log
